geom_wkt,trace_number,device_id,ts
POINT (116.391305 39.898573),1,19,2008-12-11 04:42:14+00
POINT (116.391317 39.898617),1,19,2008-12-11 04:42:16+00
POINT (116.390928 39.898613),1,19,2008-12-11 04:43:26+00
POINT (116.390833 39.898635),1,19,2008-12-11 04:43:32+00
POINT (116.38941 39.898723),1,19,2008-12-11 04:43:47+00
POINT (116.390522 39.897928),1,19,2008-12-11 04:43:50+00
POINT (116.390608 39.897837),1,19,2008-12-11 04:43:52+00
POINT (116.390708 39.8979),1,19,2008-12-11 04:45:21+00
POINT (116.390725 39.89801),1,19,2008-12-11 04:45:25+00
POINT (116.390747 39.898107),1,19,2008-12-11 04:45:30+00
POINT (116.390805 39.898187),1,19,2008-12-11 04:45:35+00
POINT (116.39086 39.898287),1,19,2008-12-11 04:45:40+00
POINT (116.390913 39.898398),1,19,2008-12-11 04:46:03+00
POINT (116.390827 39.898373),1,19,2008-12-11 04:47:27+00
POINT (116.390695 39.898377),1,19,2008-12-11 04:47:30+00
POINT (116.390598 39.898382),1,19,2008-12-11 04:47:32+00
POINT (116.390505 39.898408),1,19,2008-12-11 04:47:34+00
POINT (116.39041 39.898417),1,19,2008-12-11 04:47:36+00
POINT (116.390303 39.898428),1,19,2008-12-11 04:47:38+00
POINT (116.390193 39.898437),1,19,2008-12-11 04:47:40+00
POINT (116.390127 39.898375),1,19,2008-12-11 04:47:42+00
POINT (116.39003 39.89834),1,19,2008-12-11 04:47:44+00
POINT (116.389932 39.898292),1,19,2008-12-11 04:47:46+00
POINT (116.389837 39.898238),1,19,2008-12-11 04:47:48+00
POINT (116.389738 39.898182),1,19,2008-12-11 04:47:50+00
POINT (116.389652 39.898123),1,19,2008-12-11 04:47:52+00
POINT (116.389572 39.898078),1,19,2008-12-11 04:47:54+00
POINT (116.389427 39.898013),1,19,2008-12-11 04:47:57+00
POINT (116.389335 39.89797),1,19,2008-12-11 04:47:59+00
POINT (116.389237 39.897933),1,19,2008-12-11 04:48:01+00
POINT (116.389157 39.897853),1,19,2008-12-11 04:48:03+00
POINT (116.389085 39.897797),1,19,2008-12-11 04:48:06+00
POINT (116.388968 39.89774),1,19,2008-12-11 04:48:09+00
POINT (116.388892 39.89762),1,19,2008-12-11 04:48:11+00
POINT (116.388808 39.89747),1,19,2008-12-11 04:48:13+00
POINT (116.388763 39.897392),1,19,2008-12-11 04:48:14+00
POINT (116.388713 39.897298),1,19,2008-12-11 04:48:15+00
POINT (116.388662 39.897205),1,19,2008-12-11 04:48:16+00
POINT (116.388608 39.897107),1,19,2008-12-11 04:48:17+00
POINT (116.388557 39.897002),1,19,2008-12-11 04:48:18+00
POINT (116.388505 39.896903),1,19,2008-12-11 04:48:19+00
POINT (116.38846 39.896802),1,19,2008-12-11 04:48:20+00
POINT (116.38841 39.896697),1,19,2008-12-11 04:48:21+00
POINT (116.388373 39.896598),1,19,2008-12-11 04:48:22+00
POINT (116.388335 39.896497),1,19,2008-12-11 04:48:23+00
POINT (116.388298 39.8964),1,19,2008-12-11 04:48:24+00
POINT (116.388245 39.896213),1,19,2008-12-11 04:48:26+00
POINT (116.388248 39.896103),1,19,2008-12-11 04:48:27+00
POINT (116.38822 39.895928),1,19,2008-12-11 04:48:29+00
POINT (116.38822 39.895772),1,19,2008-12-11 04:48:31+00
POINT (116.388235 39.895622),1,19,2008-12-11 04:48:33+00
POINT (116.388238 39.895482),1,19,2008-12-11 04:48:35+00
POINT (116.38826 39.895363),1,19,2008-12-11 04:48:37+00
POINT (116.388278 39.895223),1,19,2008-12-11 04:48:39+00
POINT (116.388305 39.895088),1,19,2008-12-11 04:48:41+00
POINT (116.38832 39.89496),1,19,2008-12-11 04:48:43+00
POINT (116.38836 39.89482),1,19,2008-12-11 04:48:45+00
POINT (116.388397 39.894692),1,19,2008-12-11 04:48:47+00
POINT (116.388442 39.8946),1,19,2008-12-11 04:48:49+00
POINT (116.388483 39.894475),1,19,2008-12-11 04:48:52+00
POINT (116.388508 39.894357),1,19,2008-12-11 04:48:55+00
POINT (116.388507 39.894258),1,19,2008-12-11 04:48:57+00
POINT (116.388522 39.894125),1,19,2008-12-11 04:49:00+00
POINT (116.388532 39.894013),1,19,2008-12-11 04:49:02+00
POINT (116.38854 39.893875),1,19,2008-12-11 04:49:04+00
POINT (116.38854 39.893765),1,19,2008-12-11 04:49:06+00
POINT (116.388542 39.893648),1,19,2008-12-11 04:49:08+00
POINT (116.388547 39.893508),1,19,2008-12-11 04:49:10+00
POINT (116.388542 39.893372),1,19,2008-12-11 04:49:12+00
POINT (116.38854 39.893235),1,19,2008-12-11 04:49:14+00
POINT (116.388533 39.893093),1,19,2008-12-11 04:49:16+00
POINT (116.38852 39.892955),1,19,2008-12-11 04:49:18+00
POINT (116.388512 39.892813),1,19,2008-12-11 04:49:20+00
POINT (116.388498 39.892667),1,19,2008-12-11 04:49:23+00
POINT (116.388493 39.892547),1,19,2008-12-11 04:49:25+00
POINT (116.388483 39.892418),1,19,2008-12-11 04:49:27+00
POINT (116.38847 39.892285),1,19,2008-12-11 04:49:29+00
POINT (116.388462 39.892145),1,19,2008-12-11 04:49:31+00
POINT (116.388455 39.892005),1,19,2008-12-11 04:49:33+00
POINT (116.388452 39.891865),1,19,2008-12-11 04:49:35+00
POINT (116.38846 39.891717),1,19,2008-12-11 04:49:37+00
POINT (116.388473 39.891562),1,19,2008-12-11 04:49:39+00
POINT (116.388488 39.891397),1,19,2008-12-11 04:49:41+00
POINT (116.3885 39.891233),1,19,2008-12-11 04:49:43+00
POINT (116.388517 39.891137),1,19,2008-12-11 04:49:44+00
POINT (116.388553 39.891037),1,19,2008-12-11 04:49:45+00
POINT (116.388567 39.890938),1,19,2008-12-11 04:49:46+00
POINT (116.388592 39.890848),1,19,2008-12-11 04:49:47+00
POINT (116.388612 39.890758),1,19,2008-12-11 04:49:48+00
POINT (116.388635 39.890667),1,19,2008-12-11 04:49:49+00
POINT (116.388677 39.890488),1,19,2008-12-11 04:49:51+00
POINT (116.388717 39.890318),1,19,2008-12-11 04:49:53+00
POINT (116.38876 39.890148),1,19,2008-12-11 04:49:55+00
POINT (116.388818 39.889982),1,19,2008-12-11 04:49:57+00
POINT (116.388875 39.889817),1,19,2008-12-11 04:49:59+00
POINT (116.38891 39.88967),1,19,2008-12-11 04:50:01+00
POINT (116.38894 39.889543),1,19,2008-12-11 04:50:03+00
POINT (116.388975 39.889452),1,19,2008-12-11 04:50:06+00
POINT (116.389023 39.889363),1,19,2008-12-11 04:51:08+00
POINT (116.389088 39.889278),1,19,2008-12-11 04:51:11+00
POINT (116.389172 39.889243),1,19,2008-12-11 04:51:13+00
POINT (116.389273 39.889223),1,19,2008-12-11 04:51:15+00
POINT (116.389363 39.8892),1,19,2008-12-11 04:51:16+00
POINT (116.389522 39.889212),1,19,2008-12-11 04:51:18+00
POINT (116.389717 39.889222),1,19,2008-12-11 04:51:20+00
POINT (116.389812 39.889223),1,19,2008-12-11 04:51:21+00
POINT (116.389997 39.88924),1,19,2008-12-11 04:51:23+00
POINT (116.3901 39.889255),1,19,2008-12-11 04:51:24+00
POINT (116.39027 39.88926),1,19,2008-12-11 04:51:26+00
POINT (116.390428 39.889268),1,19,2008-12-11 04:51:28+00
POINT (116.390593 39.88927),1,19,2008-12-11 04:51:30+00
POINT (116.39076 39.889277),1,19,2008-12-11 04:51:32+00
POINT (116.390932 39.889288),1,19,2008-12-11 04:51:34+00
POINT (116.391105 39.889328),1,19,2008-12-11 04:51:36+00
POINT (116.391192 39.889365),1,19,2008-12-11 04:51:37+00
POINT (116.39128 39.889413),1,19,2008-12-11 04:51:38+00
POINT (116.391453 39.889465),1,19,2008-12-11 04:51:40+00
POINT (116.391622 39.889492),1,19,2008-12-11 04:51:42+00
POINT (116.391747 39.889482),1,19,2008-12-11 04:51:44+00
POINT (116.391855 39.88948),1,19,2008-12-11 04:51:46+00
POINT (116.391948 39.889477),1,19,2008-12-11 04:51:49+00
POINT (116.392058 39.889457),1,19,2008-12-11 04:51:52+00
POINT (116.39212 39.88935),1,19,2008-12-11 04:51:55+00
POINT (116.392137 39.889238),1,19,2008-12-11 04:51:57+00
POINT (116.392115 39.889078),1,19,2008-12-11 04:51:59+00
POINT (116.392135 39.888913),1,19,2008-12-11 04:52:01+00
POINT (116.392167 39.888733),1,19,2008-12-11 04:52:03+00
POINT (116.392185 39.888643),1,19,2008-12-11 04:52:04+00
POINT (116.392225 39.888463),1,19,2008-12-11 04:52:06+00
POINT (116.392247 39.888373),1,19,2008-12-11 04:52:07+00
POINT (116.392275 39.88822),1,19,2008-12-11 04:52:09+00
POINT (116.392282 39.888057),1,19,2008-12-11 04:52:11+00
POINT (116.39229 39.887937),1,19,2008-12-11 04:52:13+00
POINT (116.392303 39.887842),1,19,2008-12-11 04:52:14+00
POINT (116.392278 39.887693),1,19,2008-12-11 04:52:16+00
POINT (116.392255 39.887565),1,19,2008-12-11 04:52:18+00
POINT (116.392248 39.88742),1,19,2008-12-11 04:52:20+00
POINT (116.392242 39.887267),1,19,2008-12-11 04:52:22+00
POINT (116.392248 39.887082),1,19,2008-12-11 04:52:24+00
POINT (116.392247 39.886908),1,19,2008-12-11 04:52:26+00
POINT (116.392253 39.886723),1,19,2008-12-11 04:52:28+00
POINT (116.39225 39.88656),1,19,2008-12-11 04:52:30+00
POINT (116.392242 39.886393),1,19,2008-12-11 04:52:32+00
POINT (116.392245 39.886297),1,19,2008-12-11 04:52:33+00
POINT (116.392247 39.886207),1,19,2008-12-11 04:52:34+00
POINT (116.392245 39.886097),1,19,2008-12-11 04:52:35+00
POINT (116.392248 39.885998),1,19,2008-12-11 04:52:36+00
POINT (116.392258 39.8859),1,19,2008-12-11 04:52:37+00
POINT (116.39227 39.8858),1,19,2008-12-11 04:52:38+00
POINT (116.392282 39.885698),1,19,2008-12-11 04:52:39+00
POINT (116.39229 39.885588),1,19,2008-12-11 04:52:40+00
POINT (116.392295 39.885492),1,19,2008-12-11 04:52:41+00
POINT (116.392303 39.885395),1,19,2008-12-11 04:52:42+00
POINT (116.392312 39.8853),1,19,2008-12-11 04:52:43+00
POINT (116.392325 39.885133),1,19,2008-12-11 04:52:45+00
POINT (116.392357 39.884988),1,19,2008-12-11 04:52:47+00
POINT (116.39238 39.884833),1,19,2008-12-11 04:52:49+00
POINT (116.392395 39.884692),1,19,2008-12-11 04:52:51+00
POINT (116.392398 39.88457),1,19,2008-12-11 04:52:53+00
POINT (116.392417 39.884453),1,19,2008-12-11 04:52:55+00
POINT (116.392427 39.884358),1,19,2008-12-11 04:52:57+00
POINT (116.39245 39.884243),1,19,2008-12-11 04:52:59+00
POINT (116.392478 39.884133),1,19,2008-12-11 04:53:01+00
POINT (116.3925 39.884012),1,19,2008-12-11 04:53:04+00
POINT (116.392518 39.88391),1,19,2008-12-11 04:53:06+00
POINT (116.392533 39.883817),1,19,2008-12-11 04:53:08+00
POINT (116.392545 39.883713),1,19,2008-12-11 04:53:10+00
POINT (116.392548 39.883583),1,19,2008-12-11 04:53:13+00
POINT (116.392555 39.883478),1,19,2008-12-11 04:53:15+00
POINT (116.392563 39.883362),1,19,2008-12-11 04:53:17+00
POINT (116.392575 39.883238),1,19,2008-12-11 04:53:19+00
POINT (116.392588 39.883112),1,19,2008-12-11 04:53:21+00
POINT (116.392597 39.882972),1,19,2008-12-11 04:53:23+00
POINT (116.392605 39.88283),1,19,2008-12-11 04:53:25+00
POINT (116.39262 39.882678),1,19,2008-12-11 04:53:27+00
POINT (116.392632 39.88253),1,19,2008-12-11 04:53:29+00
POINT (116.39264 39.882388),1,19,2008-12-11 04:53:31+00
POINT (116.392652 39.882272),1,19,2008-12-11 04:53:33+00
POINT (116.39265 39.882157),1,19,2008-12-11 04:53:35+00
POINT (116.392645 39.882055),1,19,2008-12-11 04:53:37+00
POINT (116.392635 39.881962),1,19,2008-12-11 04:53:39+00
POINT (116.392628 39.881863),1,19,2008-12-11 04:53:41+00
POINT (116.392623 39.881765),1,19,2008-12-11 04:53:43+00
POINT (116.392625 39.881665),1,19,2008-12-11 04:53:45+00
POINT (116.392633 39.881552),1,19,2008-12-11 04:53:47+00
POINT (116.392642 39.881442),1,19,2008-12-11 04:53:49+00
POINT (116.392648 39.881323),1,19,2008-12-11 04:53:51+00
POINT (116.392653 39.881207),1,19,2008-12-11 04:53:53+00
POINT (116.39266 39.881075),1,19,2008-12-11 04:53:55+00
POINT (116.392667 39.880967),1,19,2008-12-11 04:53:57+00
POINT (116.392667 39.88086),1,19,2008-12-11 04:53:59+00
POINT (116.392668 39.880758),1,19,2008-12-11 04:54:01+00
POINT (116.392678 39.880637),1,19,2008-12-11 04:54:03+00
POINT (116.392688 39.880505),1,19,2008-12-11 04:54:05+00
POINT (116.392697 39.880373),1,19,2008-12-11 04:54:07+00
POINT (116.392708 39.880257),1,19,2008-12-11 04:54:09+00
POINT (116.392717 39.880145),1,19,2008-12-11 04:54:11+00
POINT (116.392723 39.880028),1,19,2008-12-11 04:54:13+00
POINT (116.392727 39.87992),1,19,2008-12-11 04:54:15+00
POINT (116.392727 39.879812),1,19,2008-12-11 04:54:17+00
POINT (116.392728 39.879708),1,19,2008-12-11 04:54:19+00
POINT (116.392737 39.879613),1,19,2008-12-11 04:54:21+00
POINT (116.392747 39.879513),1,19,2008-12-11 04:54:23+00
POINT (116.392755 39.879407),1,19,2008-12-11 04:54:26+00
POINT (116.392728 39.879317),1,19,2008-12-11 04:54:29+00
POINT (116.392672 39.879232),1,19,2008-12-11 04:54:33+00
POINT (116.39259 39.879165),1,19,2008-12-11 04:54:36+00
POINT (116.392492 39.87914),1,19,2008-12-11 04:54:39+00
POINT (116.392507 39.879013),1,19,2008-12-11 04:54:43+00
POINT (116.392527 39.878923),1,19,2008-12-11 04:54:46+00
POINT (116.392557 39.878818),1,19,2008-12-11 04:54:50+00
POINT (116.39255 39.87872),1,19,2008-12-11 04:54:56+00
POINT (116.392542 39.878618),1,19,2008-12-11 04:55:03+00
POINT (116.392493 39.878532),1,19,2008-12-11 04:55:08+00
POINT (116.392397 39.87848),1,19,2008-12-11 04:55:13+00
POINT (116.39232 39.878573),1,19,2008-12-11 04:55:21+00
POINT (116.392225 39.87849),1,19,2008-12-11 04:55:48+00
POINT (116.392125 39.878423),1,19,2008-12-11 04:55:50+00
POINT (116.392017 39.87834),1,19,2008-12-11 04:55:52+00
POINT (116.39189 39.878213),1,19,2008-12-11 04:55:54+00
POINT (116.391832 39.878137),1,19,2008-12-11 04:55:55+00
POINT (116.391738 39.878038),1,19,2008-12-11 04:55:56+00
POINT (116.391713 39.8779),1,19,2008-12-11 04:55:57+00
POINT (116.391662 39.877825),1,19,2008-12-11 04:55:58+00
POINT (116.391612 39.87773),1,19,2008-12-11 04:55:59+00
POINT (116.391593 39.8776),1,19,2008-12-11 04:56:00+00
POINT (116.391595 39.877488),1,19,2008-12-11 04:56:01+00
POINT (116.391558 39.877322),1,19,2008-12-11 04:56:03+00
POINT (116.391545 39.87715),1,19,2008-12-11 04:56:05+00
POINT (116.391553 39.877055),1,19,2008-12-11 04:56:06+00
POINT (116.391568 39.87696),1,19,2008-12-11 04:56:07+00
POINT (116.391595 39.876787),1,19,2008-12-11 04:56:09+00
POINT (116.391617 39.876618),1,19,2008-12-11 04:56:11+00
POINT (116.391628 39.876452),1,19,2008-12-11 04:56:13+00
POINT (116.39164 39.876278),1,19,2008-12-11 04:56:15+00
POINT (116.391655 39.87611),1,19,2008-12-11 04:56:17+00
POINT (116.391672 39.87595),1,19,2008-12-11 04:56:19+00
POINT (116.391688 39.875793),1,19,2008-12-11 04:56:21+00
POINT (116.391702 39.875653),1,19,2008-12-11 04:56:23+00
POINT (116.391712 39.875532),1,19,2008-12-11 04:56:25+00
POINT (116.39173 39.87542),1,19,2008-12-11 04:56:27+00
POINT (116.391735 39.875297),1,19,2008-12-11 04:56:29+00
POINT (116.391737 39.875173),1,19,2008-12-11 04:56:31+00
